"","CellLine","Resolution","Resampling","PredictorType","Metric","Performance"
"448","GM12878","100 kb","ROS","Distance","FPR",0.002
"449","GM12878","100 kb","ROS","Distance","FNR",0.122
"450","GM12878","100 kb","ROS","Distance","FOR",0.122
"451","GM12878","100 kb","ROS","Distance","NPV",0.878
"452","GM12878","100 kb","ROS","Distance","MCC",0.198
"453","GM12878","100 kb","ROS","Distance","F1",0.106
"454","GM12878","100 kb","ROS","Distance","AUC",0.827
"455","GM12878","100 kb","ROS","Distance","Youden",0.055
"456","GM12878","100 kb","ROS","Distance","AUPRC",0.46
"457","GM12878","10 kb","RUS","OC","TN",4289
"458","GM12878","10 kb","RUS","OC","FN",348
"459","GM12878","10 kb","RUS","OC","FP",1728
"460","GM12878","10 kb","RUS","OC","TP",393
"461","GM12878","10 kb","RUS","OC","Total",6758
"462","GM12878","10 kb","RUS","OC","Sensitivity",0.53
"463","GM12878","10 kb","RUS","OC","Specificity",0.713
"464","GM12878","10 kb","RUS","OC","Kappa",0.134
"465","GM12878","10 kb","RUS","OC","Accuracy",0.693
"466","GM12878","10 kb","RUS","OC","Precision",0.185
"467","GM12878","10 kb","RUS","OC","FPR",0.287
"468","GM12878","10 kb","RUS","OC","FNR",0.075
"469","GM12878","10 kb","RUS","OC","FOR",0.075
"470","GM12878","10 kb","RUS","OC","NPV",0.925
"471","GM12878","10 kb","RUS","OC","MCC",0.164
"472","GM12878","10 kb","RUS","OC","F1",0.275
"473","GM12878","10 kb","RUS","OC","AUC",0.669
"474","GM12878","10 kb","RUS","OC","Youden",0.243
"475","GM12878","10 kb","RUS","OC","AUPRC",0.201
"476","GM12878","10 kb","RUS","OP","TN",4278
"477","GM12878","10 kb","RUS","OP","FN",328
"478","GM12878","10 kb","RUS","OP","FP",1739
"479","GM12878","10 kb","RUS","OP","TP",413
"480","GM12878","10 kb","RUS","OP","Total",6758
"481","GM12878","10 kb","RUS","OP","Sensitivity",0.557
"482","GM12878","10 kb","RUS","OP","Specificity",0.711
"483","GM12878","10 kb","RUS","OP","Kappa",0.146
"484","GM12878","10 kb","RUS","OP","Accuracy",0.694
"485","GM12878","10 kb","RUS","OP","Precision",0.192
"486","GM12878","10 kb","RUS","OP","FPR",0.289
"487","GM12878","10 kb","RUS","OP","FNR",0.071
"488","GM12878","10 kb","RUS","OP","FOR",0.071
"489","GM12878","10 kb","RUS","OP","NPV",0.929
"490","GM12878","10 kb","RUS","OP","MCC",0.18
"491","GM12878","10 kb","RUS","OP","F1",0.286
"492","GM12878","10 kb","RUS","OP","AUC",0.671
"493","GM12878","10 kb","RUS","OP","Youden",0.268
"494","GM12878","10 kb","RUS","OP","AUPRC",0.211
"495","GM12878","10 kb","RUS","Distance","TN",4203
"496","GM12878","10 kb","RUS","Distance","FN",143
"497","GM12878","10 kb","RUS","Distance","FP",1814
"498","GM12878","10 kb","RUS","Distance","TP",598
"499","GM12878","10 kb","RUS","Distance","Total",6758
"500","GM12878","10 kb","RUS","Distance","Sensitivity",0.807
"501","GM12878","10 kb","RUS","Distance","Specificity",0.699
"502","GM12878","10 kb","RUS","Distance","Kappa",0.254
"503","GM12878","10 kb","RUS","Distance","Accuracy",0.71
"504","GM12878","10 kb","RUS","Distance","Precision",0.248
"505","GM12878","10 kb","RUS","Distance","FPR",0.301
"506","GM12878","10 kb","RUS","Distance","FNR",0.033
"507","GM12878","10 kb","RUS","Distance","FOR",0.033
"508","GM12878","10 kb","RUS","Distance","NPV",0.967
"509","GM12878","10 kb","RUS","Distance","MCC",0.33
"510","GM12878","10 kb","RUS","Distance","F1",0.379
